,GC/LE/Other,Category,Name,Note Description,Status,Released/Available Date,Cesssation Date,Refactore Date,Review,Notes,,,,
,Limited Edition,Other,Peach Champagne,,Discontinued,,,,,,,,,
,Limited Edition,Other,Mango Lychee Champagne,,Discontinued,,,,,,,,,
,Limited Edition,Other,Blood and Champagne,,Discontinued,,,,,,,,,
,Limited Edition,Other,Sangria Champagne,,Discontinued,,,,,,,,,
,Limited Edition,Other,Senelion,,Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Blackbear Moon 2012,"In February, black bears give birth to their cubs, nurturing and protecting them as the snow melts, the days grow warmer, and winter gives way to spring. Hazelnuts, acorns, black cherries, wild winter berries, and warm black fur dusted by moonlight, honey, and pine needles.",Discontinued,1/6/12,1/16/12,,,,,,,
,Limited Edition,Other,Thirteen (13): Jan 2012,"In our paean to all the mysteries surrounding this enigmatic number, there are thirteen lucky and unlucky components in this fragrance: cacao absolute, Holy basil, Jamaican ginger, High John the Conqueror root, lucky hand root, manzanilla, nutmeg, Queen of the Meadow, star anise, thyme, frankincense, Irish moss, and huckleberry leaf.",Discontinued,1/13/12,1/16/12,,,,,,,
,Limited Edition,Lunar New Year,Water Dragon 2012,"A new year's blessing! Peony, China's national flower, with bamboo for flexibility, Buddha's Hand for introspective spiritual growth, plum blossom for perseverance, courage, and hope, coconut for camaraderie, chrysanthemum for a life free of grief and struggle, tangerine and orchid for wealth, orange for happiness, lychee for household peace, pine resin for constancy, golden kumquat, pussy willow, and quince for prosperity, sesame for sweetness, narcissus and King mandarin for good fortune, and peach blossom for longevity, with a splash of blazing red of dragon's blood… to help you scare away the rampaging Nian.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,Smut 2012,"Three swarthy, smutty musks sweetened with sugar and woozy with dark booze notes. ",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,Womb Furie 2012,An itch that needs to be scratched: Snake Oil and three types of honey. ,Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,The Balcony,"Voluptuous darkness: Bourbon vetiver, red patchouli, honey, helichrysum, and black rose.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,"Body, Remember","Profoundly sensual. The echo of caresses: raw black coconut, ambergris accord, ambrette seed, champaca flower, and sugar cane.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,The Doom of Beauty,"An opulent, bittersweet Renaissance-inspired fragrance: Hungary water, parma violets, and roseated oil.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,Elizabeth of Bohemia,Incomparable loveliness: the perfect rose oude.,Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,"The Face of All The World is Changed, I Think","Absinthe accord, opoponax, green cardamom, olibanum, honey, prickly juniper, and rockrose.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,The First Encounter,"Candied apricot and orange blossom honey with grandiflorum jasmine, orris C02, tonka, patchouli, quince, and skin musk.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,Liaison,"The loveliest darkness, the core of delight: Moroccan black musk, white tea leaf, Indonesian black sandalwood, frankincense, honeycomb, jonquil, and clove.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,My Sweetest Lesbia,"Osmanthus, hay absolute, ambergris accord, catnip, and Egyptian musk.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,On the Death of his Mistress,"Plum musk, ambergris accord, matcha tea, oakmoss, patchouli, violet leaf, and cypress.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,The Rose in the Deeps of His Heart,"Golden amber, red rose, frankincense, Egyptian musk, galbanum, and immortelle.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,The Sorrow of Love,"Stargazer lily, white musk, white gardenia, white rose, stephanotis, delphinium, orris root, white sandalwood, bergamot, and magnolia.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,Lupercalia,The Vine,"Bradford pear, honey, and vanilla cream.",Discontinued,1/13/12,3/31/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,An Omen of Good Fortune,"Black tea, mango blossom, wolfberry, oakmoss, and star anise.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Before the Snowy Window,"Snow-dusted cherry blossom, passion flower, peach musk, and tuberose.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Blooming Rose,"Pink roses, rice flower, peony, lilac, and white honey.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Blossoms in Spring Time,"Vanilla bean and vanilla blossom, golden honey, antiqued amber, beeswax, copal, lotus blossom, and helichrysum.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Calligraphy Practice,"White sandalwood, beeswax, clary sage, olibanum, opoponax, violet leaf, and oudh.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Ecstatic Revelry,"Blackened amber, cardamom, cumin, labdanum, tobacco tar, patchouli, and raw honey.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Entangled,"Kudzu vine, raw honey, ginger cream, and gingergrass.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Following Instructions,"South Indian sandalwood, amber-encrusted wood, white grains, massoia bark, and hops.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Gathering Wild Mushrooms,"Wild mushrooms, hay absolute, ginger root, hiba wood, and ginseng.. ",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Geisha in Orange Kimono Admiring a Samurai,"King mandarin, tuberose, white sandalwood, white moss, yerba mate, tangerine, and styrax. ",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,The Hell of Great Heat,"Indonesian patchouli, tonka bean, red musk, natural hedoine accord, black opium, cassis, styrax, costus, oakmoss, frankincense, and kief accord.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Kagema,"Himalayan cedar, rum absolute, bay leaf, teakwood, orange peel, wooly thyme, and tobacco absolute.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Lady in Speckled Kimono,Peony blossoms and vanilla orchid.,Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Medical Procedure,"Linen, tobacco flower, white sandalwood, and dragon's blood resin..",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Mischievous Spirit,"Chinese peach, bergamot, cranberry, red vegetal musk, carnation, white coconut, and Nepalese amber.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Narrow Opening,"Rum, frankincense, leather accord, bourbon vanilla, champaca flower, and ambrette seed.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Playful Wooden Mallets,Black musk and Ceylon cinnamon.,Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Samurai in a Graveyard By Night,"Mulberry leaf, juniper berries, cypress, Himalayan cedar, neroli, night-blooming jasmine, galbanum, and wisteria.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Snowy Mountains and Kingfisher,"Crisp ozone-tinged snow, muguet, white moss, sandalwood musk, white amber, honeysuckle, and white pear.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Street Festival,"Plum honey, passion fruit, pomegranate, benzoin, French lavender, blonde tobacco, black currant, vanilla bean, lemon balm, Tunisian opium, violet sugar, clove, and white grapefruit.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Sumai no Sechie,"Fig, pink grapefruit, Egyptian white musk, ambergris accord, muguet, ylang ylang, Hawaiian white ginger, jonquil, and khus.",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,The Salon: Novel Ideas for Secret Amusements,Variety of Pleasing Amusements,"Honey, leather, tobacco, and myrrh. ",Discontinued,1/13/12,4/30/12,,,,,,,
,Limited Edition,A Little Lunacy,Candles Moon 2012,"Moonlight shining on the Quickening Tree, the heat and wax of sacred candles, the milk of ewes, Brigid's blackberry, the sting of keening wind, and the last flutter of the Cailleach's winter snow. ",Discontinued,,,,,,,,,
,Limited Edition,Other,The Ides of March 2012,"A mixture of springtime greenery and classical Roman cologne: rosemary, bergamot, lemon rind and vervain with costus, benzoin, coriander, rosewood, gray amber, cardamom, white narcissus, dark musk, and iris. ",Discontinued,,,,,,,,,
,Limited Edition,The Bards of Ireland,In the Forest,"A wild, passion-inflamed skin musk with black pine pitch, brown leather, black clove, copal, white sage, oakmoss, patchouli, and saffron.",Discontinued,,,,,,,,,
,Limited Edition,The Bards of Ireland,The Fairies,"Supping with the Queen of the Fae: apple blossom, white clover, huckleberry wine, dandelion sap, milkweed, primrose, thyme, pink moss, thorny thistles, and opium pod.",Discontinued,,,,,,,,,
,Limited Edition,The Bards of Ireland,Liadain and Curithir,"honeysuckle, ivy, white moss, and salty spray. ",Discontinued,,,,,,,,,
,Limited Edition,The Bards of Ireland,Strings in the Earth and Air,"White sage, white musk, honey myrtle, galbanum, lilac, and everlasting flower. ",Discontinued,,,,,,,,,
,Limited Edition,Box of Chocolates 2012,"Dark Chocolate with Sun-Dried Tomato, Pink Peppercorn, Thyme, and Comfrey","Dark Chocolate with Sun-Dried Tomato, Pink Peppercorn, Thyme, and Comfrey",Discontinued,,,,,,,,,
,Limited Edition,Box of Chocolates 2012,"Milk Chocolate with Macadamia Nut, Coconut, Button Mushroom, and Marshmallow","Milk Chocolate with Macadamia Nut, Coconut, Button Mushroom, and Marshmallow",Discontinued,,,,,,,,,
,Limited Edition,Box of Chocolates 2012,"White Chocolate with Lemongrass, Coriander, and Almond Cream","White Chocolate with Lemongrass, Coriander, and Almond Cream",Discontinued,,,,,,,,,
,Limited Edition,Other,Frederic 2012,"a reluctant seaman's chypre sloshed with a mix of bay rum, patchouli, amber musk, salty woods, tobacco absolute, black tea, English roses, and red currant. ",Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Pink Moon 2012,"soft with phlox, tulip, daffodil, pink columbine, delphinium, pink carnation, peony, and muscari, dusted with pink sugar and honey, bourbon vanilla, a hint of white chocolate, and a touch of the first strawberries of the season. ",Discontinued,,,,,,,,,
,Limited Edition,The Land of Dreams: Compass Points,Dream,"White rose, lavender, kush accord, oudh, opium poppy, white musk, and shamama attar. ",Discontinued,,,,,,,,,
,Limited Edition,The Land of Dreams: Compass Points,Nightmare,"Black currant, black orchid, lavender, black dammar, myrrh, oakmoss, champaca flower, and mandrake root. ",Discontinued,,,,,,,,,
,Limited Edition,The Land of Dreams: Compass Points,Sleep,"Lavender with tobacco, zdravetz, Haitian vetiver, and blue lotus absolute. ",Discontinued,,,,,,,,,
,Limited Edition,The Land of Dreams: Compass Points,Wake,"Pink grapefruit, peppermint, orange blossom, bitter orange, juniper berry, cumin, tuberose, and lemon balm. ",Discontinued,,,,,,,,,
,Limited Edition,Other,Poisson d'Avril 2012,"Lenten rose, crested iris, windflower, primrose, moss phlox, belladonna lily, cherry blossom, blue crocus, daffodil, hyacinth, and dewy tulip with a touch of sugar blossom and honey. ",Discontinued,,,,,,,,,
,Limited Edition,Hero Initiative,Dawn: Mourning Victory,"Red sandalwood, night-blooming jasmine, white tea, hyacinth, rosehips, and tuberose. ",,,,,,,,,,
,Limited Edition,Hero Initiative,Grendel: Cyborg,Gleaming metal and black leather over a khus-darkened bay rum. ,,,,,,,,,,
,Limited Edition,Hero Initiative,The Magdalena,"Frankincense, myrrh, leather, ti leaf, saint wood, benzoin, and labdanum absolute. ",,,,,,,,,,
,Limited Edition,Pon Poko Pon no Pon,Jibiki Danuki,Purple sage and oakmoss with black and white musks. ,Discontinued,,,,,,,,,
,Limited Edition,Pon Poko Pon no Pon,Tanuki no Amiuchi,"Sandalwood incense, patchouli, matcha, cumin, white cedar, white gardenia, ti leaf, and vetiver. ",Discontinued,,,,,,,,,
,Limited Edition,Pon Poko Pon no Pon,Tanuki no Doke Daruma,"Red currant, champaca flower, apple blossom and apple pulp, goma, tomato leaf, and brown grasses. ",Discontinued,,,,,,,,,
,Limited Edition,Pon Poko Pon no Pon,Tanuki no Hikifune,"Honeydew, honey, and sparkling golden-green musk. ",Discontinued,,,,,,,,,
,Limited Edition,Pon Poko Pon no Pon,Tanuki no Kanban,"Golden musk, ginkgo nut, persimmon rind, and bitter almond. ",Discontinued,,,,,,,,,
,Limited Edition,Pon Poko Pon no Pon,Tanuki no Orai,"White peach, golden peach, mango, persimmon, lotus petal, osmanthus, and shishito. ",Discontinued,,,,,,,,,
,Limited Edition,Pon Poko Pon no Pon,Tanuki no Senkimochi,"Anise seed, furry brown musk, cypress sap, myrrh, and smoky woods. ",Discontinued,,,,,,,,,
,Limited Edition,Pon Poko Pon no Pon,Tanuki no Yudachi,"Lilium speciosum, rice wine, white grapefruit, lotus root, bourbon vanilla, and vanilla orchid. ",Discontinued,,,,,,,,,
,Limited Edition,Other,Thirteen (13): April 2012,"thirteen flowers of good luck swirled in white chocolate and a touch of honey: white carnation, stephanotis, blood-flower, yellow rose, eggplant flower, tiare, chamomile blossom, champaca flower, pink heather, wild orchid, pink peony, sweet basil flower, and Bells of Ireland. ",Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Strawberry Moon 2012,"Wild strawberries, strawberry flower, strawberry blossom honey, vanilla-infused sugar, early summer grasses, and milky dandelion sap. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Ae. Aegypti,"Five honeys with vanilla orchid, gardenia, dragon's blood resin, gingergrass, and turmeric.",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Ae. Albopictus,"Saffron, pimento, cardamom, beeswax, cajeput, tomato leaf, geranium, and pink pepper honey. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Bernardino Dotted Blue,"Lily of the valley, patchouli, copal, violet leaf, ambrette seed, Cyprian bergamot, chocolate peppermint, and tobacco absolute. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Ceanothus Silkmoth,"Blood orange, night-blooming jasmine, vanilla bean, bog wood, Spanish moss, benzoin, and oudh. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Juniper Hairstreak,"Smoky brown musk, cucumber, green-tinged ozone, cypress, white mint, jungle orchid, and juniper berry. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Passion Butterfly,"Red mandarin, mimosa, pink grapefruit, copal, petitgrain, and black amber. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Ruddy Daggerwing,"Cacao, tobacco absolute, Chilean coffee bean, osage-orange, and ebony. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Sphaeromachia Gaumeri,"Iris, iced lemon peel, anise seed, red current, coriander, cilantro, and white musk. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Two-Barred Flasher,"Orris root, lilac, galbanum, white tea, Italian bergamot, and blueberry. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,White Peacock,"Teak, ebony wood, osmanthus, patchouli, red sandalwood, vanilla orchid, tonka bean, tobacco, wild musk, spikenard, and sugandh kokila. ",Discontinued,,,,,,,,,
,Limited Edition,Metamorphosis,Zebra Heliconian,"Opium tar, frankincense, lemongrass, ambergris accord, Himalayan cedarwood, coffee absolute, coconut meat, clary sage, tobacco flower, vetiver, and white plum. ",Discontinued,,,,,,,,,
,Limited Edition,Single Notes,Annurca Apple Blossom,,Discontinued,,,,,,,,,
,Limited Edition,Single Notes,Spanish Red Carnation,,Discontinued,,,,,,,,,
,Retail Exclusive,Ysanne Spevack,The Orchard,"Rose hips and rose thorns, tulip petals, wild plum, and bittersweet chocolate. ",Discontinued,,,,,,,,,
,Event Exclusive,DragonCon,Cuélebre,"Blood red pomegranate juice, gleaming leather, black myrrh, saffron, Spanish juniper, Apple of Cain, and green cognac.",Discontinued,,,,,,,,,
,Event Exclusive,DragonCon,Zmey Gorynych,"A robust, lewd, and powerful blend of daemonorops resin, red musk, amber incense, galbanum, frankincense, and creaking leather that has dusted with gold and limned with tunda frost.",Discontinued,,,,,,,,,
,Event Exclusive,DragonCon,Lindworm,Smoky green leather smeared with crushed grasses and wild herbs.,Discontinued,,,,,,,,,
,Event Exclusive,DragonCon,Bakunawa,"Hypnotic, luminous lunar herbs and blossoms radiating forth from a blend of midnight musk, jungle orchids, oakmoss, and palm.",Discontinued,,,,,,,,,
,Event Exclusive,DragonCon,Cherokee Rose SN,,Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Harvest Moon 2012,"This Harvest lunacy combines the autumnal scents of balsam fir, cedar, sorrel, thyme, juniper berry, clove, saffron, damson plum, chrysanthemum, sage, black cherry, and fennel with dry maple leaves, golden ale, the crushed wine grapes of Dionysus, and Janus’ lingum aloes.",Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Blue Moon 2012,"with a potent lunar-charged, oneirongenic blend of blue musk, exquisite woods, moonflower, evening stock, Madagascan ylang ylang, Florentine iris, Greek cypress, green tea absolute, palmarosa, cucumber, rose milkweed, Clary sage, lavender, lemon balm, and passion fruit.",Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Blauer Mond,"A glimmer of hope emerging from a sea of dreams: sea buckthorn berry, terebinth pine, frankincense, hyssop, white sage, Neptune’s night-blooming jasmine, cucumber, lavender, ambergris accord, and violet leaf.",Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Luna Azule,"This is the scent of star-crossed love, folly, and passionate lunacy: white mango, French lavender, orris root, fig leaf, ylang ylang, mugwort, styrax, oakmoss, camphor, and black opium tar.",Discontinued,,,,,,,,,
,Limited Edition,Single Notes,Eight Petaled Lotus,,Discontinued,,,,,,,,,
,Limited Edition,Single Notes,Siberian Musk,,Discontinued,,,,,,,,,
,Event Exclusive,SDCC,India Ink SN,,Discontinued,,,,,,,,,
,General Catalog,Coraline,Mouse Circus,"A toodle oodle of pink cotton candy noses, vanilla spun sugar fur, scattered kernels of popcorn, and a touch of polished golden wood.",,,,,,,,,,
,General Catalog,Coraline,Butterscotch and Black Beetles,"Butterscotch candies flecked with dirt, encased in a shiny black shell of myrrh, patchouli, and anise seed.",,,,,,,,,,
,Limited Edition,Thirteen (13),July 2012,"bittersweet cacao and dragon’s blood resin sweetened by honey and vanilla bean, brightened by saffron, and touched by the contemplative depths of oak leaf, solemn opoponax, frankincense, myrrh, black amber, hiba wood, aged patchouli, burgundy pitch, and Balm of Gilead.",Discontinued,,,,,,,,,
,Event Exclusive,SDCC,Nocturnus,"French lavender, spike lavender, and French lavender absolute, Roman chamomile, wild-harvested frankincense, styrax, bourbon vanilla absolute, bourbon geranium, ethically harvested Australian sandalwood, oudh, mugwort, and opium tar.",Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Singing Moon,"The song of a host of dread spirits wailing their grief to the moonlit heavens: grey, silken ambergris and cold davana cascading over a landscape of bog rosemary, marsh cinquefoil, sea holly, grey willow, bog asphodel, sundew, lowland meadow grass, and frost-limned peat.",Discontinued,,,,,,,,,
,Event Exclusive,Anime Expo,Boystyle Aristocrat,A dapper Victorian bergamot and patchouli cologne that has been softened by orris and spiced with pink peppercorn.,Discontinued,,,,,,,,,
,Event Exclusive,Anime Expo,Dolly Kei,"Antiqued bourbon vanilla and tobacco-tinged yellow sandalwood with copal and amber incense, frankincense, tonka absolute, and myrrh.",Discontinued,,,,,,,,,
,Event Exclusive,Anime Expo,Hime Gyaru,"Fit for a princess: pink musk, spun sugar, white rose, pink gardenia, black currant, and violet leaf.",Discontinued,,,,,,,,,
,Event Exclusive,Anime Expo,Mori Girl,"Forest tuberose, woodland mosses, wisteria blossoms, hime wood, night-blooming jasmine, and honey dust.",Discontinued,,,,,,,,,
,Limited Edition,A Little Lunacy,Smoky Moon 2012,"Aged champaca, golden amber, guiac wood, dusky patchouli, twilit oudh, and feathery orris, with a touch of grapefruit, davana, and elemi to help lift it to the heavens",Discontinued,,,,,,,,,
,General Catalog,Fraggles,Gobo,"Tangerine, lemon peel, sugared pink grapefruit, and vanilla cream.",,,,,,,,,,
,General Catalog,Fraggles,Boober,"A fretfully clean scent: freshly-washed laundry, linden blossom, soap suds, and a sprinkle of vanilla.",,,,,,,,,,
,General Catalog,Fraggles,Red,"Sporty and energetic: sweet red currant, tangy cranberry, pink musk, and spicy pink pepper.",,,,,,,,,,
,General Catalog,Fraggles,Mokey,"A gentle, contemplative fragrance: lilac blossoms, violet sugar, orris root, stephanotis, and osmanthus.",,,,,,,,,,
,General Catalog,Fraggles,Wembley,"Innocently indecisive: white musk, banana, orange blossom honey, pineapple, and mint.",,,,,,,,,,
,General Catalog,Fraggles,Uncle Traveling Matt,"Dark chocolate, figgy vanilla, pear, and quince.",,,,,,,,,,
,General Catalog,Fraggles,Doozers,"The scent of industrious cooperation: glittering crystals, soft soil, and radish dust.",,,,,,,,,,
,General Catalog,Fraggles,Gorg's Garden,"Radishes, freshly-turned soil, and soft herbs.",,,,,,,,,,
,General Catalog,ParaNorman,Blithe Hollow,"Dead leaves and cold, moist breezes set at the edge of a forest of maple, pine, cedar, and cypress.",,,,,,,,,,
,General Catalog,ParaNorman,Norman,Hoodie cotton and milk-splashed denim with a hint of pine needles and ectoplasm,,,,,,,,,,
,General Catalog,ParaNorman,Courtney,"A sweet and over-the-top girly teenybopper perfume mixed with a little tanning lotion and a healthy dollop of pink (very, very pink) bubblegum.",,,,,,,,,,
,General Catalog,ParaNorman,Neil,Breakfast cereal and jelly beans.,,,,,,,,,,
,General Catalog,ParaNorman,Salma,"Crisp linen, a smudge of ballpoint pen ink, soap-touched skin, apple shampoo, and effervescent science fair experiment residue.",,,,,,,,,,
,General Catalog,ParaNorman,Norman's Grandma,"A soft, ethereal scent suffused with gentle comfort. A remembrance of tea roses, lilacs, and soothing hugs.",,,,,,,,,,
,General Catalog,ParaNorman,Mr. Prenderghast,"Sweet cigar smoke, brown wool, Old Furry Touk accord, and a little bit of coffee.",,,,,,,,,,
,General Catalog,ParaNorman,Bub," dog’s bright, beaming memories of playing in the sun, rolling in the grass, and begging for table scraps.",,,,,,,,,,
,General Catalog,ParaNorman,Hippie Ghost,"A faded snapshot of patchouli-stained peasant blouses, soft suede boots, and smoke.",,,,,,,,,,
,General Catalog,ParaNorman,The Book,"Old, yellowed parchment paper, tattered leather bindings. There’s a distinct warmth to the scent, though it is ancient and brittle.",,,,,,,,,,
,Limited Edition,A Little Lunacy,Raven Moon 2012," shining, moonlit ebony musk with benzoin, myrrh, smoky vanilla, patchouli, nutmeg, and dried red chili.",Discontinued,,,,,,,,,
,Limited Edition,Single Notes,Devil's Trumpet,,Discontinued,,,,,,,,,
,Limited Edition,Single Notes,Evening Stock,,Discontinued,,,,,,,,,
,Limited Edition,Single Notes,Spanish Moss,,Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Appalling Abattoir,"Echoes of crimes long-ago hidden: a slaughter hastily washed away, leaving flecks of gore to settle deep within the rough-hewn stone floor.",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Atrocious Attic,"tea rose, violet, white sandalwood, French lavender, and calla lily",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Bloody Banister,"A rotting, cracked mahogany balustrade smeared with bloody handprints frames a cascading Imperial staircase that rises unsteadily into oppressive, suffocating shadows.",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Chilling Cellar,"Wine just turning to vinegar, crumbling mortar, red clay, and the coppery tang of old blood.",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Forbidding Foryer," The faint scent of brimstone, ghostly breath laced with cognac, neglected mahogany panels, and rot.",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Ghastly Garden,"Overgrown oleander, marshy water hemlock, the sugared nectar of carnivorous blooms, putrefying wet greenery, oozing sap, crushed rosary peas, withered climbing roses, and nightshade berries.",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Heinous Hedge-Maze,"Claustrophobic pathways of neglected boxwood and thorny rosemary intersecting at impossible angles, twisting into itself.",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Lurid Library,The incense-tinged scent of forbidden tomes and the musk-laden remnants of infernal servants.,Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Perilous Parlor, the scent of soft white pear and sweet vanilla.,Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Sinister Salon,"Whiffs of opium, tobacco smoke, sherry, and cologne hint at crumbling decadence and the echoes of buried perversions.",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Twisted Oak Tree,"Blackened, rotted oak wood blanketed in moss and choked by a cloak of grasping ivy.",Discontinued,,,,,,,,,
,Limited Edition,Halloween: The Haunted House Revisited,The Wretched Rose Window,"Pale shafts of frail sunbeams push through, creating a sickly dance of violet, smoke-grey, blood-red, and blackened plum light on the oaken walls.",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,All Soul's Night," Fragonia, carrot seed, and ashen sandalwood.",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,The Apparition,"Quicksilver-cold and heartless: white sandalwood, immortelle, zdravetz, and oudh.",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,Autumn Coolness 2012,"The scent of wisteria, Cymbidium, lotus blossom, and cassia buds drifting on a breeze through gently swaying bamboo reeds.",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,Bonfire Night 2012,"Beer, woodsmoke, tar, and treacle.",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,Boo 2012,"Eerie billows of spun sugar, fluttering white cotton, and sheets of cream.",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,Dia De Los Muertos 2012,"dry, crackling leaves, the incense smoke of altars honoring Death and the Dead, funeral bouquets, the candies, chocolates, foods and tobacco of the ofrenda, amaranth, sweet cactus blossom and desert cereus",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,Fizzy Jack O' Lantern,"Pour the gin, sherry, lemon juice, pumpkin butter, and liqueur to a cocktail shaker filled with ice. Shake that mofo and strain it into a rocks glass filled with ice and a strong, spicy ginger ale. Stir gently, and garnish with a cinnamon stick or human finger bone.",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,Ghost House,"Purple-stemmed raspberries, twining grape vines, Spanish moss, and dusty pale woods.",Discontinued,,,,,,,,,
,Limited Edition,Halloweenie 2012,Mango-Infused Pumpkin Chai Latte,"Pumpkin-spiced gunpowder tea with mango peel, red ginger, green cardamom, smoky clove buds, fennel, allspice, saffron, coconut sugar, and foamy milk.",Discontinued,,,,,,,,,
